Vulnerability,Category,Length
"            f""str$id""""str$id""""str$id""            delete from {carts_table}             where user_id={userid} && product_id={productid}            cursor.execute(sql_query)",sql_injection,9
"    client.listentcp()    proxy = proxy(proxy_port=""str$id"", app_port=""str$id"")    context.call_to_terminate_proxy = proxy.run_on_a_thread()",xsrf,8
"from django.http import httpresponse, httpresponseredirectfrom django.shortcuts import get_object_or_404, render",open_redirect,9
"def write_preset(conn, queryin, descriptin):	cursor = conn.cursor()	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	extable = table(""str$id"")	q = mysqlquery.into(extable).columns(""str$id"", ""str$id"").insert(queryin, descriptin)	print(q)	quer = str(q)	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)def edit_preset(conn, key, queryin, descriptin):	cursor = conn.cursor()	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	if (queryin != ""str$id""):		quer = ""str$id""+queryin+""str$id""+str(key)+""str$id""		cursor.execute(quer)	if (descriptin != ""str$id""):		quer = ""str$id""+descriptin+""str$id""+str(key)+""str$id""		cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	cursor = conn.cursor()	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id"" +key;	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)def get_preset(conn, key):	cursor = conn.cursor()	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	extable = table(""str$id"")	q = mysqlquery.from_(extable).select(		extable.querval	).where(		extable.id == key	)	print(q)	quer = str(q)	cursor.execute(quer)	row = cursor.fetchone()	strrow = str(row)	return (strrow[num%id:-num%id])def get_descriptin(conn, key):	cursor = conn.cursor()	quer = ""str$id""	cursor.execute(quer)	quer = ""str$id""	cursor.execute(quer)	extable = table(""str$id"")	q = mysqlquery.from_(extable).select(		extable.description	).where(		extable.id == key	)	print(q)	quer = str(q)	cursor.execute(quer)	row = cursor.fetchone()	strrow = str(row)	return (strrow[num%id:-num%id])",sql_injection,175
"                        update_query = self.update_template.format(oracle_id, local_id)                        self.db.execute(update_query)                        print ""str$id"", local_id, ""str$id"", oracle_id                    print ""str$id""            print ""str$id""",sql_injection,14
"            limiting_str = int(args.split(""str$id"")[num%id])            limiting_str = default_limit        ordering_str = ""str$id""",sql_injection,9
    decimal_places = utils.get_decimal_places(zoom_level),sql_injection,3
"        csessid = request.args.get(""str$id"")[num%id]",xss,3
"from snakemake.io import iofile, _iofile, periodicitydetector, wait_for_files",remote_code_execution,7
"                 f""str$id"")            cursor = db.execute_query(query)",sql_injection,4
        response = self.client.post(url),xsrf,3
"    response = self.app.get(""str$id"")",xsrf,3
"        if request.args.get(""str$id"", none):            return redirect(request.args.get(""str$id""))",xsrf,5
"        out = self._cli_run(""str$id"", none)",command_injection,4
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,5
"				from oses where name = ""str$id"") order by device,partid,fstype,size""str$id""""str$id""""str$id"" % args[num%id]				where name = ""str$id"") order by device,partid,fstype, size""str$id"""" % args[num%id]		self.db.execute(query)		i = num%id		for row in self.db.fetchall():			name, device, mountpoint, size, fstype, options, partid = row				name = args[num%id]	",command_injection,41
"        packagedef = self.splitcmd(self.docclasscmd, config.getraw(""str$id""))            packagedef += self.splitcmd(self.packagecmd, pkg)        outerpreamble = ""str$id""        for k in self.preamblecmds:            if k in config.effectiveconfig:                outerpreamble += self.preamblecmds[k] % config.getraw(k)        innerpreamble = verbatimenv.preambledefs        if config.effectiveconfig.get(""str$id"", ""str$id"") in [""str$id"", ""str$id"", ""str$id"", true]:            innerpreamble += self.titlepagecmd        self.before = packagedef + outerpreamble + self.begin + innerpreamble",command_injection,47
"        query = ""str$id""""str$id""""str$id""""str$id""\""str$id""        cursor = g.conn.execute(query)",sql_injection,6
"		blacklisted_keywords = [""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id""]			frappe.throw(_(""str$id""), frappe.dataerror)",sql_injection,11
"query = ""str$id""+str(int(round(volume)))+""str$id""cur.execute(query)",sql_injection,3
"        cmd = ""str$id"" % src_name            cmd += ""str$id"" % snap_cpg            cmd += ""str$id""            cmd += cpg + ""str$id""        cmd += dest_name        self._cli_run(cmd, none)",command_injection,23
"                   ""str$id"", (winner, loser, ts))",sql_injection,4
            redirect_output=self._ray_params.redirect_worker_output),open_redirect,1
"result = stringio.stringio()c.setopt(pycurl.writefunction, result.write)def auto_detect(track_id):    url = ""str$id""    c.setopt(pycurl.customrequest, ""str$id"")        c.setopt(pycurl.url, url + ""str$id"" + track_id)",sql_injection,16
	return event,sql_injection,2
"                sql = ""str$id"" + username + ""str$id"" + pass_hash + ""str$id""                c.execute(sql)",sql_injection,12
"    def get(self, path, get_args=""str$id"", as_json=true):        request = request_mock(path)    def post(self, path, body=""str$id"", headers=none):        request = request_mock(path=path, method=""str$id"", body=body, headers=headers)    def put(self, path, body):        request = request_mock(path=path, method=""str$id"", body=body, headers={""str$id"": [""str$id""]})    def delete(self, path, body=""str$id""):        request = request_mock(path=path, body=body, headers={""str$id"": [""str$id""]}, method=""str$id"")",xsrf,41
"                      (""str$id"" % filter if filter else ""str$id""))",sql_injection,7
"            self.cursor.execute(""str$id"".format(url))",sql_injection,1
"from elasticsearch_dsl.query import simplequerystring, bool",xss,5
"                       where tweets.text like ""str$id"" ""str$id""""str$id""and tweets.text like ""str$id"" "" * (len(keywords) - num%id)    select_tweets = select_tweets.format(*keywords)    cursor.execute(select_tweets)",sql_injection,17
from pants.engine.isolated_process import fallibleexecuteprocessresult,remote_code_execution,4
"    query = ""str$id""+str(x+num%id)+""str$id""+str(x)+""str$id""    cur.execute(query)",sql_injection,4
"    self._temp_options_filename = none      self._temp_options_filename = options_file.name      json.dump( dict( self._user_options ), options_file )",remote_code_execution,12
    m.text = text    m.cachedtext = compile_markdown(text)    m.category = category    m.headline = headline,xss,12
"        ssh_cmd = (""str$id""                   % {""str$id"": chap_secret, ""str$id"": host_name})",command_injection,8
"    time.sleep(num%id.num%id)    thirdpage, thirdheaders = request.querypage(content=true)    condition  = firstpage == secondpage    condition &= secondpage == thirdpage",command_injection,15
"                  ""str$id"", ""str$id"", ""str$id"", ""str$id"",                  ""str$id"")",command_injection,5
"import common, sqlite3, subprocess, networkmanager, os, crypt, pwd, getpass, spwd ",remote_code_execution,10
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,10
"	def _raise_exception():		frappe.throw(_(""str$id""), frappe.dataerror)			_raise_exception()			_raise_exception()			_raise_exception()			_raise_exception()",sql_injection,8
"            ""str$id"" \            .format(x)    c.execute(query)",sql_injection,4
"    docclasscmd = (r""str$id"", r""str$id"")    packagecmd = (r""str$id"", r""str$id"")    titlepagecmd = ""str$id""    begin = ""str$id""    end = ""str$id""    preamblecmds = {""str$id""    : ""str$id"",                    ""str$id""   : ""str$id"",                    ""str$id""    : ""str$id"",                    ""str$id""   : ""str$id"",                    ""str$id"": ""str$id"",                    ""str$id""     : ""str$id""}        if txt.find(""str$id"") > -num%id:            warn(""str$id"")        super(document, self).__init__(docparser.parse(txt, doclexer), after=self.end)",command_injection,45
"        c.execute(""str$id""                  ""str$id""+dte+""str$id""+cladd+""str$id""+cmd+""str$id""+path+""str$id""+useragentstring+""str$id""+rvers+""str$id""                  )            c.execute(                ""str$id""                    ""str$id""+useragentstring+""str$id""            )            refid = c.execute(""str$id""+useragentstring+""str$id"").fetchone()                resp = c.execute(""str$id""+str(refid[num%id])+""str$id"").fetchall()",sql_injection,13
"from flask import redirect, make_responsefrom random import randintimport redisimport uuidimport timedef initredis_db():    r = redis.redis(host=""str$id"",port=num%id,db=num%id)    return rdef generatesession(user_id, r):    salt = ""str$id"".join([chr(randint(num%id, num%id)) for _ in range(num%id)])    generate_uuid = str(uuid.uuid3(uuid.namespace_dns, str(user_id + time.time()) + salt))    r.set(generate_uuid, user_id)    response = make_response(redirect(""str$id""))    response.set_cookie(""str$id"", bytes(generate_uuid, ""str$id""))",sql_injection,43
